,Unit_Name,Dacoity,Robbery,Murder,Speedy_Trial,Riot,Woman&Child_Repression,Kidnapping,Police_Assault,Burglary,Theft,Other_Cases,Arms_Act,Explosive,Narcotics,Smuggling,Total_Recovered_Cases,Total_Cases,Year
0,DMP,47,220,245,363,3,1370,139,155,555,1915,7228,518,82,10535,144,11279,23519,2010
1,CMP,16,108,94,31,7,455,37,31,123,314,1831,51,0,866,99,1016,4063,2010
2,KMP,3,9,29,25,0,153,11,4,65,91,551,19,2,792,13,826,1767,2010
3,RMP,4,20,21,9,15,157,9,12,53,106,578,3,4,332,248,587,1571,2010
4,BMP,8,12,19,21,0,112,6,8,24,83,557,17,0,155,117,289,1139,2010
5,SMP,12,33,33,34,1,104,14,12,33,154,866,14,0,154,20,188,1484,2010
6,Dhaka Range,162,199,1153,362,7,4272,171,71,643,1477,19966,309,30,4459,993,5791,34274,2010
7,Mymensingh Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
8,Chittagong Range,153,122,639,245,32,2915,111,87,429,998,12985,235,20,4730,612,5597,24313,2010
9,Sylhet Range,85,43,245,75,17,848,41,19,186,524,5266,30,4,905,172,1111,8460,2010
10,Khulna Range,74,125,513,110,15,2275,156,25,332,947,9954,211,96,2292,1238,3837,18363,2010
11,Barisal Range,38,37,207,112,3,991,65,13,214,374,6561,33,5,334,33,405,9020,2010
12,Rajshahi Range,54,130,757,276,29,4095,105,35,442,1442,20654,134,10,3614,2509,6267,34286,2010
13,Rangpur Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
14,Railway Range,0,1,33,3,1,5,5,1,2,104,142,1,0,176,165,342,639,2010
15,GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
16,RPMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
17,ATU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
18,Total,656,1059,3988,1666,130,17752,870,473,3101,8529,87139,1575,253,29344,6363,37535,162898,2010
19,DMP,47,220,245,363,3,1370,139,155,555,1915,7228,518,82,10535,144,11279,23519,2011
20,CMP,16,108,94,31,7,455,37,31,123,314,1831,51,0,866,99,1016,4063,2011
21,KMP,3,9,29,25,0,153,11,4,65,91,551,19,2,792,13,826,1767,2011
22,RMP,4,20,21,9,15,157,9,12,53,106,578,3,4,332,248,587,1571,2011
23,BMP,8,12,19,21,0,112,6,8,24,83,557,17,0,155,117,289,1139,2011
24,SMP,12,33,33,34,1,104,14,12,33,154,866,14,0,154,20,188,1484,2011
25,Dhaka Range,162,199,1153,362,7,4272,171,71,643,1477,19966,309,30,4459,993,5791,34274,2011
26,Mymensingh Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
27,Chittagong Range,153,122,639,245,32,2915,111,87,429,998,12985,235,20,4730,612,5597,24313,2011
28,Sylhet Range,85,43,245,75,17,848,41,19,186,524,5266,30,4,905,172,1111,8460,2011
29,Khulna Range,74,125,513,110,15,2275,156,25,332,947,9954,211,96,2292,1238,3837,18363,2011
30,Barisal Range,38,37,207,112,3,991,65,13,214,374,6561,33,5,334,33,405,9020,2011
31,Rajshahi Range,54,130,757,276,29,4095,105,35,442,1442,20654,134,10,3614,2509,6267,34286,2011
32,Rangpur Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
33,Railway Range,0,1,33,3,1,5,5,1,2,104,142,1,0,176,165,342,639,2011
34,GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
35,RPMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
36,ATU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
37,Total,656,1059,3988,1666,130,17752,870,473,3101,8529,87139,1575,253,29344,6363,37535,162898,2011
38,DMP,47,220,245,363,3,1370,139,155,555,1915,7228,518,82,10535,144,11279,23519,2012
39,CMP,16,108,94,31,7,455,37,31,123,314,1831,51,0,866,99,1016,4063,2012
40,KMP,3,9,29,25,0,153,11,4,65,91,551,19,2,792,13,826,1767,2012
41,RMP,4,20,21,9,15,157,9,12,53,106,578,3,4,332,248,587,1571,2012
42,BMP,8,12,19,21,0,112,6,8,24,83,557,17,0,155,117,289,1139,2012
43,SMP,12,33,33,34,1,104,14,12,33,154,866,14,0,154,20,188,1484,2012
